id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
123673,85290,68325,14235,334202,Complete,2024-06-23 23:41:55.000000 UTC,2024-06-22 11:07:00.000000 UTC,2024-06-25 03:14:00.000000 UTC,,0.0199999995529651
113842,78513,62929,14235,307479,Shipped,2025-04-24 23:42:22.000000 UTC,2025-04-27 15:42:00.000000 UTC,,,0.0199999995529651
154014,106229,85033,14235,416219,Shipped,2024-10-28 09:02:34.000000 UTC,2024-10-25 01:55:00.000000 UTC,,,0.0199999995529651
161974,111725,89440,14235,437604,Shipped,2024-08-22 11:15:54.000000 UTC,2024-08-23 10:50:00.000000 UTC,,,0.0199999995529651
120313,82985,66509,14159,325128,Cancelled,2024-04-16 21:29:43.000000 UTC,,,,0.49000000953674311
44438,30598,24553,14159,120269,Complete,2025-01-13 11:48:46.000000 UTC,2025-01-11 17:10:00.000000 UTC,2025-01-13 09:56:00.000000 UTC,,0.49000000953674311
64786,44717,35958,14159,175050,Shipped,2025-04-02 15:18:32.000000 UTC,2025-04-04 20:36:00.000000 UTC,,,0.49000000953674311
93328,64343,51583,14159,252121,Shipped,2025-05-25 02:25:34.000000 UTC,2025-05-26 13:51:00.000000 UTC,,,0.49000000953674311
110937,76499,61282,14159,299655,Shipped,2025-01-05 13:35:57.000000 UTC,2025-01-07 01:49:00.000000 UTC,,,0.49000000953674311
121815,83991,67307,14159,329159,Shipped,2025-06-19 11:00:58.149739 UTC,2025-06-21 08:39:51.149739 UTC,,,0.49000000953674311
93860,64696,51842,14202,253562,Cancelled,2023-07-17 03:27:03.000000 UTC,,,,1.5
35845,24735,19890,14202,96954,Complete,2025-06-24 05:03:47.000000 UTC,2025-06-20 17:55:00.000000 UTC,2025-06-21 10:57:00.000000 UTC,,1.5
45425,31287,25124,28700,122939,Complete,2022-04-03 03:32:00.000000 UTC,2022-04-05 08:36:00.000000 UTC,2022-04-08 05:57:00.000000 UTC,,1.5
96073,66240,53091,28700,259543,Complete,2025-06-02 00:45:46.000000 UTC,2025-06-02 08:37:00.000000 UTC,2025-06-05 17:26:00.000000 UTC,,1.5
110602,76251,61082,28700,298714,Complete,2024-12-16 03:56:09.000000 UTC,2024-12-16 05:24:00.000000 UTC,2024-12-18 06:31:00.000000 UTC,,1.5
